kind;class;element;ChangingClasses;ChangingMethods;CouplingDispersion;CouplingIntensity;CyclomaticComplexity;MaxCallChain;MaxNesting;MethodLinesOfCode;NumberOfAccessedVariables;ParameterCount;smells_count;smells
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.inserirAviso;0,0;0,0;0,5;2,0;2,0;1,0;1,0;3,0;5,0;4,0;1;LongParameterList
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.desligamentoPorTempoMaximo;1,0;1,0;0,571428571429;7,0;2,0;2,0;1,0;7,0;6,0;1,0;2;FeatureEnvy,LongParameterList
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.desligamentoPorLimiteDeTrancamentos;1,0;1,0;0,75;4,0;2,0;2,0;1,0;5,0;4,0;1,0;2;FeatureEnvy,LongParameterList
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.desligamentoPorCoeficiente;1,0;1,0;0,571428571429;7,0;6,0;2,0;2,0;21,0;10,0;1,0;2;FeatureEnvy,LongParameterList
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.desligamentoPorBloqueio;1,0;1,0;0,666666666667;6,0;3,0;2,0;1,0;10,0;8,0;1,0;3;FeatureEnvy,LongParameterList
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.verificarCondicoesDesligamento;1,0;1,0;0,375;8,0;6,0;1,0;2,0;12,0;4,0;1,0;3;FeatureEnvy,LongParameterList
public method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.gerarAvisos;1,0;1,0;0,666666666667;12,0;5,0;3,0;3,0;21,0;12,0;1,0;5;FeatureEnvy,LongParameterList,DispersedCoupling
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.imprimirDuracaoEQuantidadeProcessada;1,0;1,0;0,0;0,0;1,0;1,0;0,0;7,0;7,0;2,0;5;FeatureEnvy,LongParameterList,DispersedCoupling
public static method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.main;0,0;0,0;1,0;1,0;2,0;3,0;1,0;16,0;7,0;1,0;5;FeatureEnvy,LongParameterList,DispersedCoupling
public method;br.ufal.academico.batch.matricula.BloqueioMatricula;br.ufal.academico.batch.matricula.BloqueioMatricula.bloquear;1,0;1,0;0,454545454545;22,0;8,0;3,0;4,0;55,0;17,0;1,0;3;LongMethod,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.batch.matricula.BloqueioMatricula;br.ufal.academico.batch.matricula.BloqueioMatricula.filtrarAlunosQueIngressaramPosteriormente;1,0;1,0;1,0;2,0;4,0;2,0;2,0;8,0;5,0;2,0;3;LongMethod,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.batch.matricula.BloqueioMatricula;br.ufal.academico.batch.matricula.BloqueioMatricula.filtrarAlunosSemTrancamentoNoPeriodo;1,0;1,0;1,0;1,0;4,0;1,0;2,0;8,0;6,0;2,0;3;LongMethod,FeatureEnvy,IntensiveCoupling
public static method;br.ufal.academico.batch.matricula.BloqueioMatricula;br.ufal.academico.batch.matricula.BloqueioMatricula.main;0,0;0,0;1,0;1,0;2,0;3,0;1,0;18,0;7,0;1,0;3;LongMethod,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo.processaAluno;1,0;1,0;0,405405405405;37,0;4,0;4,0;2,0;37,0;23,0;1,0;4;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo.processaAlunosVersaoCurso;1,0;1,0;1,0;4,0;4,0;3,0;2,0;13,0;7,0;1,0;4;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo.calcular;0,0;0,0;1,0;1,0;1,0;1,0;0,0;2,0;0,0;0,0;4;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo.calcular;1,0;2,0;0,555555555556;9,0;3,0;2,0;2,0;12,0;10,0;2,0;5;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling,DispersedCoupling
public static method;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo.main;0,0;0,0;1,0;1,0;2,0;3,0;1,0;19,0;8,0;1,0;5;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling,DispersedCoupling
private method;br.ufal.academico.batch.matricula.CalculoHistoricoCargasHorariasMatriculaInstitucional;br.ufal.academico.batch.matricula.CalculoHistoricoCargasHorariasMatriculaInstitucional.processaAluno;1,0;1,0;0,285714285714;14,0;2,0;2,0;1,0;17,0;15,0;1,0;1;FeatureEnvy
private method;br.ufal.academico.batch.matricula.CalculoHistoricoCargasHorariasMatriculaInstitucional;br.ufal.academico.batch.matricula.CalculoHistoricoCargasHorariasMatriculaInstitucional.processaAlunosVersaoCurso;1,0;1,0;0,8;5,0;5,0;3,0;2,0;15,0;7,0;1,0;1;FeatureEnvy
public method;br.ufal.academico.batch.matricula.CalculoHistoricoCargasHorariasMatriculaInstitucional;br.ufal.academico.batch.matricula.CalculoHistoricoCargasHorariasMatriculaInstitucional.calcular;1,0;1,0;0,5;10,0;5,0;3,0;3,0;14,0;8,0;0,0;3;FeatureEnvy,DispersedCoupling
public method;br.ufal.academico.batch.matricula.CargaHorariaObtidaObter;br.ufal.academico.batch.matricula.CargaHorariaObtidaObter.calcular;1,0;1,0;0,333333333333;15,0;2,0;2,0;1,0;21,0;22,0;3,0;1;FeatureEnvy
public method;br.ufal.academico.batch.matricula.CoeficienteRendimento;br.ufal.academico.batch.matricula.CoeficienteRendimento.calcular;1,0;1,0;0,538461538462;13,0;5,0;3,0;2,0;25,0;11,0;1,0;2;FeatureEnvy,DispersedCoupling
public method;br.ufal.academico.batch.matricula.CoeficienteRendimentoGeral;br.ufal.academico.batch.matricula.CoeficienteRendimentoGeral.calcular;1,0;1,0;0,533333333333;15,0;5,0;3,0;2,0;25,0;10,0;0,0;2;FeatureEnvy,DispersedCoupling
public method;br.ufal.academico.batch.matricula.CoeficienteRendimentoGeral;br.ufal.academico.batch.matricula.CoeficienteRendimentoGeral.getIntegralidade;1,0;1,0;0,333333333333;12,0;1,0;2,0;0,0;16,0;17,0;1,0;3;FeatureEnvy,DispersedCoupling
public method;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado.inserirDestrancamento;1,0;1,0;0,666666666667;12,0;3,0;4,0;2,0;20,0;9,0;1,0;3;MessageChain,FeatureEnvy,DispersedCoupling
private method;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado.removerInativosApos4Periodos;1,0;1,0;0,428571428571;7,0;5,0;4,0;3,0;14,0;11,0;2,0;5;MessageChain,FeatureEnvy,DispersedCoupling
public method;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado.listarMatriculasSemDestrancamentoNoIntervalo;1,0;1,0;1,0;3,0;5,0;2,0;3,0;11,0;11,0;3,0;5;MessageChain,FeatureEnvy,DispersedCoupling
private method;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado.removerMatriculadosEmDisciplinas;1,0;1,0;1,0;1,0;4,0;1,0;2,0;9,0;8,0;3,0;5;MessageChain,FeatureEnvy,DispersedCoupling
public method;br.ufal.academico.batch.matricula.EncerramentoPeriodoLetivo;br.ufal.academico.batch.matricula.EncerramentoPeriodoLetivo.encerrar;1,0;1,0;0,727272727273;11,0;4,0;2,0;2,0;21,0;15,0;2,0;2;FeatureEnvy,DispersedCoupling
public method;br.ufal.academico.batch.matricula.EncerramentoPeriodoLetivo;br.ufal.academico.batch.matricula.EncerramentoPeriodoLetivo.setBanco;1,0;1,0;0,0;0,0;1,0;1,0;0,0;9,0;6,0;0,0;2;FeatureEnvy,DispersedCoupling
private method;br.ufal.academico.batch.matricula.GeracaoRegistroEnade;br.ufal.academico.batch.matricula.GeracaoRegistroEnade.geraRegistroSeConcluinte;1,0;1,0;0,615384615385;13,0;7,0;3,0;2,0;23,0;16,0;1,0;2;FeatureEnvy,DispersedCoupling
private method;br.ufal.academico.batch.matricula.GeracaoRegistroEnade;br.ufal.academico.batch.matricula.GeracaoRegistroEnade.gerarRegistroEnadeIrregular;1,0;1,0;0,333333333333;3,0;3,0;1,0;1,0;9,0;6,0;1,0;3;FeatureEnvy,DispersedCoupling
public method;br.ufal.academico.batch.matricula.GeracaoRegistroEnade;br.ufal.academico.batch.matricula.GeracaoRegistroEnade.gerarRegistroEnade;1,0;1,0;0,466666666667;15,0;7,0;2,0;3,0;35,0;15,0;1,0;6;LongMethod,FeatureEnvy,IntensiveCoupling,DispersedCoupling
public static method;br.ufal.academico.batch.matricula.GeracaoRegistroEnade;br.ufal.academico.batch.matricula.GeracaoRegistroEnade.main;0,0;0,0;1,0;1,0;2,0;3,0;1,0;16,0;7,0;1,0;6;LongMethod,FeatureEnvy,IntensiveCoupling,DispersedCoupling
private method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca.matricularEmTurmas;1,0;1,0;1,0;2,0;3,0;2,0;2,0;8,0;11,0;4,0;1;LongParameterList
private method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca.removeFerasForaLista;0,0;0,0;1,0;1,0;3,0;2,0;2,0;6,0;4,0;1,0;1;LongParameterList
public method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca.matricular;1,0;1,0;0,625;8,0;5,0;3,0;2,0;15,0;11,0;1,0;2;FeatureEnvy,LongParameterList
public static method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca.main;0,0;0,0;1,0;1,0;2,0;3,0;1,0;16,0;6,0;1,0;2;FeatureEnvy,LongParameterList
public method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2015_2;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2015_2.matricular;1,0;1,0;0,5;16,0;7,0;3,0;3,0;29,0;20,0;2,0;2;FeatureEnvy,DispersedCoupling
public static method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2015_2;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2015_2.main;0,0;0,0;1,0;1,0;5,0;3,0;1,0;25,0;9,0;1,0;2;FeatureEnvy,DispersedCoupling
private method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2016_1;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2016_1.preencherMapaDeTurmas2016_2;1,0;1,0;0,0;0,0;1,0;2,0;0,0;41,0;1,0;0,0;1;LongMethod
private method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2016_1;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2016_1.preencherMapaDeTurmas2016_1;0,0;0,0;0,0;0,0;1,0;2,0;0,0;21,0;1,0;0,0;1;LongMethod
public method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2016_1;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2016_1.matricular;1,0;1,0;0,5;16,0;6,0;3,0;3,0;27,0;20,0;2,0;3;FeatureEnvy,LongMethod,DispersedCoupling
public static method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2016_1;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2016_1.main;0,0;0,0;1,0;1,0;5,0;3,0;1,0;25,0;9,0;1,0;3;FeatureEnvy,LongMethod,DispersedCoupling
protected method;br.ufal.academico.batch.matricula.MatriculaFerasArapiracaGenerico;br.ufal.academico.batch.matricula.MatriculaFerasArapiracaGenerico.listarTurmasPrimeiroPeriodoTronco;2,0;2,0;0,75;4,0;3,0;2,0;2,0;7,0;9,0;4,0;1;LongParameterList
protected method;br.ufal.academico.batch.matricula.MatriculaFerasArapiracaGenerico;br.ufal.academico.batch.matricula.MatriculaFerasArapiracaGenerico.excluirAlunosEvadidos;2,0;2,0;1,0;2,0;3,0;3,0;2,0;6,0;4,0;1,0;1;LongParameterList
protected method;br.ufal.academico.batch.matricula.MatriculaFerasArapiracaGenerico;br.ufal.academico.batch.matricula.MatriculaFerasArapiracaGenerico.matricularEmTurmas;2,0;2,0;0,714285714286;7,0;6,0;5,0;4,0;23,0;12,0;2,0;2;MessageChain,LongParameterList
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.calcularMatriculas;1,0;1,0;0,4;5,0;11,0;2,0;3,0;24,0;11,0;2,0;1;FeatureEnvy
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.getFerasPorTurno;1,0;1,0;1,0;1,0;3,0;2,0;2,0;9,0;4,0;1,0;1;FeatureEnvy
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.getFerasPorPolo;1,0;1,0;0,5;2,0;4,0;2,0;2,0;10,0;4,0;1,0;1;FeatureEnvy
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.getTurmasPorTurno;1,0;1,0;1,0;1,0;3,0;1,0;2,0;10,0;6,0;1,0;1;FeatureEnvy
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.getTurmasPorPolo;1,0;1,0;1,0;1,0;3,0;1,0;2,0;10,0;5,0;1,0;1;FeatureEnvy
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.getTurmas;1,0;1,0;1,0;2,0;6,0;2,0;3,0;14,0;13,0;2,0;2;FeatureEnvy
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.getAtividadesUnicas;1,0;2,0;1,0;1,0;3,0;2,0;2,0;8,0;4,0;1,0;2;FeatureEnvy
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.removerAtividadesForaLista;0,0;0,0;1,0;1,0;3,0;2,0;2,0;6,0;4,0;1,0;2;FeatureEnvy
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.removeFerasForaLista;0,0;0,0;1,0;1,0;4,0;2,0;2,0;9,0;5,0;1,0;2;FeatureEnvy
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.removerFerasComMatriculaAcademica;1,0;1,0;1,0;1,0;4,0;2,0;2,0;9,0;4,0;1,0;2;FeatureEnvy
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.matricularFeras;1,0;1,0;0,545454545455;22,0;11,0;3,0;4,0;39,0;24,0;1,0;4;LongMethod,FeatureEnvy,DispersedCoupling
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.matricularFerasEAD;0,0;0,0;0,529411764706;17,0;9,0;2,0;3,0;34,0;21,0;1,0;6;LongMethod,FeatureEnvy,DispersedCoupling
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.matricularEmTurmas;1,0;2,0;0,75;8,0;6,0;4,0;4,0;25,0;13,0;2,0;7;LongMethod,MessageChain,FeatureEnvy,DispersedCoupling
public method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.matricular;1,0;1,0;0,529411764706;17,0;5,0;3,0;3,0;20,0;14,0;2,0;9;LongMethod,MessageChain,FeatureEnvy,DispersedCoupling
public static method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.main;0,0;0,0;1,0;1,0;5,0;3,0;1,0;25,0;9,0;1,0;9;LongMethod,MessageChain,FeatureEnvy,DispersedCoupling
private method;br.ufal.academico.batch.matricula.MatriculaFerasSertao;br.ufal.academico.batch.matricula.MatriculaFerasSertao.matricularEmTurmas;1,0;1,0;1,0;2,0;3,0;2,0;2,0;8,0;11,0;4,0;1;LongParameterList
private method;br.ufal.academico.batch.matricula.MatriculaFerasSertao;br.ufal.academico.batch.matricula.MatriculaFerasSertao.removerFerasComMatriculaAcademica;1,0;1,0;1,0;1,0;3,0;2,0;2,0;6,0;3,0;1,0;1;LongParameterList
public method;br.ufal.academico.batch.matricula.MatriculaFerasSertao;br.ufal.academico.batch.matricula.MatriculaFerasSertao.matricular;1,0;1,0;0,6;10,0;5,0;3,0;2,0;15,0;10,0;1,0;3;FeatureEnvy,LongParameterList,DispersedCoupling
private method;br.ufal.academico.batch.matricula.MatriculaFerasSertao;br.ufal.academico.batch.matricula.MatriculaFerasSertao.removeFerasForaLista;0,0;0,0;1,0;1,0;3,0;2,0;2,0;6,0;4,0;1,0;3;FeatureEnvy,LongParameterList,DispersedCoupling
public static method;br.ufal.academico.batch.matricula.MatriculaFerasSertao;br.ufal.academico.batch.matricula.MatriculaFerasSertao.main;0,0;0,0;1,0;1,0;2,0;3,0;1,0;16,0;6,0;1,0;3;FeatureEnvy,LongParameterList,DispersedCoupling
public method;br.ufal.academico.batch.matricula.MatriculasRemanescentesDefeituosas;br.ufal.academico.batch.matricula.MatriculasRemanescentesDefeituosas.matricular;1,0;1,0;0,666666666667;12,0;4,0;3,0;3,0;20,0;12,0;1,0;1;DispersedCoupling
public static method;br.ufal.academico.batch.matricula.MatriculasRemanescentesDefeituosas;br.ufal.academico.batch.matricula.MatriculasRemanescentesDefeituosas.main;0,0;0,0;1,0;1,0;1,0;2,0;0,0;12,0;6,0;1,0;1;DispersedCoupling
public method;br.ufal.academico.batch.matricula.RegistroEquivalenciaMatriculaRemanescente;br.ufal.academico.batch.matricula.RegistroEquivalenciaMatriculaRemanescente.registrar;2,0;2,0;0,4;25,0;7,0;3,0;3,0;31,0;13,0;2,0;3;LongMethod,FeatureEnvy,IntensiveCoupling
public static method;br.ufal.academico.batch.matricula.RegistroEquivalenciaMatriculaRemanescente;br.ufal.academico.batch.matricula.RegistroEquivalenciaMatriculaRemanescente.main;0,0;0,0;1,0;1,0;2,0;3,0;1,0;19,0;8,0;1,0;3;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.batch.oferta.CriacaoFeriados;br.ufal.academico.batch.oferta.CriacaoFeriados.criarFeriados;1,0;1,0;1,0;4,0;2,0;2,0;1,0;47,0;25,0;1,0;2;LongMethod,FeatureEnvy
public method;br.ufal.academico.batch.transpal.GeracaoAlunosAvulsos;br.ufal.academico.batch.transpal.GeracaoAlunosAvulsos.gerar;1,0;1,0;1,0;3,0;7,0;3,0;3,0;37,0;11,0;0,0;1;LongMethod
private method;br.ufal.academico.batch.transpal.GeracaoDadosTranspal;br.ufal.academico.batch.transpal.GeracaoDadosTranspal.processamento;1,0;1,0;0,407407407407;27,0;12,0;6,0;2,0;49,0;13,0;2,0;4;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.batch.transpal.GeracaoDadosTranspal;br.ufal.academico.batch.transpal.GeracaoDadosTranspal.retornarStatusAluno;1,0;1,0;1,0;2,0;5,0;2,0;1,0;11,0;7,0;1,0;4;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.batch.transpal.GeracaoDadosTranspal;br.ufal.academico.batch.transpal.GeracaoDadosTranspal.formataCEP;1,0;1,0;0,0;0,0;2,0;1,0;1,0;6,0;2,0;1,0;4;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.dao.diarioclasse.DiarioClasseDao;br.ufal.academico.dao.diarioclasse.DiarioClasseDao.consultarDiarioPorTurmaFiltrarPorPeriodo;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;4,0;4,0;1;LongParameterList
public method;br.ufal.academico.dao.diarioclasse.DiarioClasseDao;br.ufal.academico.dao.diarioclasse.DiarioClasseDao.consultarQuantidadeDiariosPorTurma;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1;LongParameterList
public method;br.ufal.academico.dao.diarioclasse.DiarioClasseDao;br.ufal.academico.dao.diarioclasse.DiarioClasseDao.consultarDiariosPorData;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;2,0;2,0;1;LongParameterList
public method;br.ufal.academico.dao.diarioclasse.DiarioClasseDao;br.ufal.academico.dao.diarioclasse.DiarioClasseDao.carregarPorId;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1;LongParameterList
public method;br.ufal.academico.dao.diarioclasse.DiarioClasseDao;br.ufal.academico.dao.diarioclasse.DiarioClasseDao.consultarDiarioPorDataHora;1,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1;LongParameterList
public method;br.ufal.academico.dao.diarioclasse.DiarioClasseDao;br.ufal.academico.dao.diarioclasse.DiarioClasseDao.excluirDiariosAlteradosOuRemovidosDaTurma;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;2,0;2,0;1;LongParameterList
public method;br.ufal.academico.dao.diarioclasse.DiarioClasseDao;br.ufal.academico.dao.diarioclasse.DiarioClasseDao.excluirCancelamentoDiario;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1;LongParameterList
public method;br.ufal.academico.dao.diarioclasse.DiarioClasseDao;br.ufal.academico.dao.diarioclasse.DiarioClasseDao.consultarDiarios;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;3,0;3,0;1;LongParameterList
method;br.ufal.academico.dao.diarioclasse.PresencaDao;br.ufal.academico.dao.diarioclasse.PresencaDao.atualizarPresencasPorPeriodoParaTipo;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;4,0;4,0;1;LongParameterList
method;br.ufal.academico.dao.diarioclasse.PresencaDao;br.ufal.academico.dao.diarioclasse.PresencaDao.consultarPresencasPorDiarioClasse;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1;LongParameterList
method;br.ufal.academico.dao.GenericDao;br.ufal.academico.dao.GenericDao.listar;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;4,0;4,0;1;LongParameterList
method;br.ufal.academico.dao.GenericDao;br.ufal.academico.dao.GenericDao.listar;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1;LongParameterList
method;br.ufal.academico.dao.GenericDao;br.ufal.academico.dao.GenericDao.listar;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;3,0;3,0;1;LongParameterList
method;br.ufal.academico.dao.GenericDao;br.ufal.academico.dao.GenericDao.listar;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;3,0;3,0;1;LongParameterList
method;br.ufal.academico.dao.GenericDao;br.ufal.academico.dao.GenericDao.listar;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;5,0;5,0;2;LongParameterList
method;br.ufal.academico.dao.GenericDao;br.ufal.academico.dao.GenericDao.count;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2;LongParameterList
method;br.ufal.academico.dao.GenericDao;br.ufal.academico.dao.GenericDao.count;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;2;LongParameterList
method;br.ufal.academico.dao.GenericDao;br.ufal.academico.dao.GenericDao.refresh;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;2;LongParameterList
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateAtividadeNaoPrevistaDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateAtividadeNaoPrevistaDao.consultarAtividadesPorPlano;0,0;0,0;1,0;2,0;2,0;4,0;1,0;6,0;2,0;1,0;1;MessageChain
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarConteudosProgramaticoPorPlano;0,0;0,0;1,0;2,0;2,0;4,0;1,0;6,0;2,0;1,0;1;MessageChain
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarQuantidadeItensNaHierarquia;0,0;0,0;0,75;4,0;4,0;4,0;1,0;8,0;2,0;1,0;2;MessageChain
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarConteudosProgramaticosMesmaHierarquiaOrdenados;0,0;0,0;0,5;4,0;4,0;6,0;1,0;9,0;2,0;1,0;4;MessageChain,FeatureEnvy
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarPrimeiroConteudoProgramaticoMinistradoNaHierarquia;0,0;0,0;0,6;5,0;4,0;6,0;1,0;8,0;2,0;1,0;6;MessageChain,FeatureEnvy
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarUltimoConteudoProgramaticoMinistradoNaHierarquia;0,0;0,0;0,6;5,0;4,0;6,0;1,0;8,0;2,0;1,0;8;MessageChain,FeatureEnvy
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarConteudosProgramaticosRaiz;0,0;0,0;0,5;2,0;2,0;6,0;1,0;7,0;2,0;1,0;9;MessageChain,FeatureEnvy
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarConteudosProgramaticosFilhos;0,0;0,0;0,5;2,0;2,0;5,0;1,0;7,0;2,0;1,0;10;MessageChain,FeatureEnvy
