kind;class;element;ChangingClasses;ChangingMethods;CouplingDispersion;CouplingIntensity;CyclomaticComplexity;MaxCallChain;MaxNesting;MethodLinesOfCode;NumberOfAccessedVariables;ParameterCount;smell;reason
public method;br.ufal.academico.aceitacao.CadastroOfertaAceitacaoStoryTest;br.ufal.academico.aceitacao.CadastroOfertaAceitacaoStoryTest.testCadastrarNovaTurmaParaNovaOfertaComDadosValido;0;0;0,13559322;118;1;4;0;135;29;0;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.ensino.Curso > 5
public method;br.ufal.academico.aceitacao.CadastroOfertaAceitacaoStoryTest;br.ufal.academico.aceitacao.CadastroOfertaAceitacaoStoryTest.testCadastrarNovaTurmaParaNovaOfertaComDadosValido;0;0;0,13559322;118;1;4;0;135;29;0;LongMethod;MLOC > 4.811927772126122
public method;br.ufal.academico.aceitacao.CadastroOfertaAceitacaoStoryTest;br.ufal.academico.aceitacao.CadastroOfertaAceitacaoStoryTest.testCadastrarNovaTurmaParaNovaOfertaComDadosValido;0;0;0,13559322;118;1;4;0;135;29;0;MessageChain;MAX_CALL_CHAIN = 4.0
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.inserirAviso;0;0;0,5;2;2;1;1;3;5;4;LongParameterList;PARAMETER_COUNT > 0.6525940996948094
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.desligamentoPorTempoMaximo;1;1;0,571428571;7;2;2;1;7;6;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.matricula.MatriculaInstitucional > 4
private method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.desligamentoPorBloqueio;1;1;0,666666667;6;3;2;1;10;8;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.matricula.MatriculaInstitucional > 4
public method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.gerarAvisos;1;1;0,666666667;12;5;3;3;21;12;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.ensino.Curso > 4
public method;br.ufal.academico.batch.matricula.AvisoDesligamento;br.ufal.academico.batch.matricula.AvisoDesligamento.gerarAvisos;1;1;0,666666667;12;5;3;3;21;12;1;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
public method;br.ufal.academico.batch.matricula.BloqueioMatricula;br.ufal.academico.batch.matricula.BloqueioMatricula.bloquear;1;1;0,454545455;22;8;3;4;55;17;1;FeatureEnvy;CALLS_TO_br.ufal.academico.service.MatriculaInstitucionalService > 5
public method;br.ufal.academico.batch.matricula.BloqueioMatricula;br.ufal.academico.batch.matricula.BloqueioMatricula.bloquear;1;1;0,454545455;22;8;3;4;55;17;1;LongMethod;MLOC > 4.811927772126122
public method;br.ufal.academico.batch.matricula.BloqueioMatricula;br.ufal.academico.batch.matricula.BloqueioMatricula.bloquear;1;1;0,454545455;22;8;3;4;55;17;1;IntensiveCoupling;CINT = 22.0, CDISP = 0.45454545454545453, CC > 1.0
private method;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo.processaAluno;1;1;0,405405405;37;4;4;2;37;23;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.matricula.MatriculaInstitucional > 5
private method;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo.processaAluno;1;1;0,405405405;37;4;4;2;37;23;1;LongMethod;MLOC > 4.811927772126122
private method;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo.processaAluno;1;1;0,405405405;37;4;4;2;37;23;1;MessageChain;MAX_CALL_CHAIN = 4.0
private method;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo.processaAluno;1;1;0,405405405;37;4;4;2;37;23;1;IntensiveCoupling;CINT = 37.0, CDISP = 0.40540540540540543, CC > 1.0
public method;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo;br.ufal.academico.batch.matricula.CalculoEstatisticasHistoricoPeriodo.calcular;1;2;0,555555556;9;3;2;2;12;10;2;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
private method;br.ufal.academico.batch.matricula.CalculoHistoricoCargasHorariasMatriculaInstitucional;br.ufal.academico.batch.matricula.CalculoHistoricoCargasHorariasMatriculaInstitucional.processaAluno;1;1;0,285714286;14;2;2;1;17;15;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.matricula.MatriculaInstitucional > 8
public method;br.ufal.academico.batch.matricula.CalculoHistoricoCargasHorariasMatriculaInstitucional;br.ufal.academico.batch.matricula.CalculoHistoricoCargasHorariasMatriculaInstitucional.calcular;1;1;0,5;10;5;3;3;14;8;0;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.ensino.Curso > 4
public method;br.ufal.academico.batch.matricula.CalculoHistoricoCargasHorariasMatriculaInstitucional;br.ufal.academico.batch.matricula.CalculoHistoricoCargasHorariasMatriculaInstitucional.calcular;1;1;0,5;10;5;3;3;14;8;0;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
public method;br.ufal.academico.batch.matricula.CargaHorariaObtidaObter;br.ufal.academico.batch.matricula.CargaHorariaObtidaObter.calcular;1;1;0,333333333;15;2;2;1;21;22;3;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.matricula.MatriculaInstitucional > 10
public method;br.ufal.academico.batch.matricula.CoeficienteRendimento;br.ufal.academico.batch.matricula.CoeficienteRendimento.calcular;1;1;0,538461538;13;5;3;2;25;11;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.matricula.MatriculaInstitucional > 8
public method;br.ufal.academico.batch.matricula.CoeficienteRendimento;br.ufal.academico.batch.matricula.CoeficienteRendimento.calcular;1;1;0,538461538;13;5;3;2;25;11;1;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
public method;br.ufal.academico.batch.matricula.CoeficienteRendimentoGeral;br.ufal.academico.batch.matricula.CoeficienteRendimentoGeral.calcular;1;1;0,533333333;15;5;3;2;25;10;0;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.matricula.MatriculaInstitucional > 10
public method;br.ufal.academico.batch.matricula.CoeficienteRendimentoGeral;br.ufal.academico.batch.matricula.CoeficienteRendimentoGeral.calcular;1;1;0,533333333;15;5;3;2;25;10;0;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
public method;br.ufal.academico.batch.matricula.CoeficienteRendimentoGeral;br.ufal.academico.batch.matricula.CoeficienteRendimentoGeral.getIntegralidade;1;1;0,333333333;12;1;2;0;16;17;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.matricula.MatriculaInstitucional > 6
public method;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado.inserirDestrancamento;1;1;0,666666667;12;3;4;2;20;9;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.matricula.MatriculaInstitucional > 6
public method;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado.inserirDestrancamento;1;1;0,666666667;12;3;4;2;20;9;1;MessageChain;MAX_CALL_CHAIN = 4.0
public method;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado.inserirDestrancamento;1;1;0,666666667;12;3;4;2;20;9;1;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
private method;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado.removerInativosApos4Periodos;1;1;0,428571429;7;5;4;3;14;11;2;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.matricula.MatriculaInstitucional > 5
private method;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado;br.ufal.academico.batch.matricula.DestrancamentoParaAlunosComMuitoTempoTrancado.removerInativosApos4Periodos;1;1;0,428571429;7;5;4;3;14;11;2;MessageChain;MAX_CALL_CHAIN = 4.0
public method;br.ufal.academico.batch.matricula.EncerramentoPeriodoLetivo;br.ufal.academico.batch.matricula.EncerramentoPeriodoLetivo.encerrar;1;1;0,727272727;11;4;2;2;21;15;2;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.matricula.MatriculaInstitucional > 4
public method;br.ufal.academico.batch.matricula.EncerramentoPeriodoLetivo;br.ufal.academico.batch.matricula.EncerramentoPeriodoLetivo.encerrar;1;1;0,727272727;11;4;2;2;21;15;2;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
private method;br.ufal.academico.batch.matricula.GeracaoRegistroEnade;br.ufal.academico.batch.matricula.GeracaoRegistroEnade.geraRegistroSeConcluinte;1;1;0,615384615;13;7;3;2;23;16;1;FeatureEnvy;CALLS_TO_br.ufal.academico.service.DisciplinaCurricularService > 4
private method;br.ufal.academico.batch.matricula.GeracaoRegistroEnade;br.ufal.academico.batch.matricula.GeracaoRegistroEnade.geraRegistroSeConcluinte;1;1;0,615384615;13;7;3;2;23;16;1;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
private method;br.ufal.academico.batch.matricula.GeracaoRegistroEnade;br.ufal.academico.batch.matricula.GeracaoRegistroEnade.gerarRegistroEnadeIrregular;1;1;0,333333333;3;3;1;1;9;6;1;FeatureEnvy;CALLS_TO_br.ufal.academico.service.RegistroEnadeService > 4
public method;br.ufal.academico.batch.matricula.GeracaoRegistroEnade;br.ufal.academico.batch.matricula.GeracaoRegistroEnade.gerarRegistroEnade;1;1;0,466666667;15;7;2;3;35;15;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.matricula.MatriculaInstitucional > 4
public method;br.ufal.academico.batch.matricula.GeracaoRegistroEnade;br.ufal.academico.batch.matricula.GeracaoRegistroEnade.gerarRegistroEnade;1;1;0,466666667;15;7;2;3;35;15;1;LongMethod;MLOC > 4.811927772126122
public method;br.ufal.academico.batch.matricula.GeracaoRegistroEnade;br.ufal.academico.batch.matricula.GeracaoRegistroEnade.gerarRegistroEnade;1;1;0,466666667;15;7;2;3;35;15;1;IntensiveCoupling;CINT = 15.0, CDISP = 0.4666666666666667, CC > 1.0
private method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca.matricularEmTurmas;1;1;1;2;3;2;2;8;11;4;LongParameterList;PARAMETER_COUNT > 0.6525940996948094
public method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca.matricular;1;1;0,625;8;5;3;2;15;11;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.ensino.VersaoCurso > 4
public method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2015_2;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2015_2.matricular;1;1;0,5;16;7;3;3;29;20;2;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.ensino.Curso > 5
public method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2015_2;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2015_2.matricular;1;1;0,5;16;7;3;3;29;20;2;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
private method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2016_1;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2016_1.preencherMapaDeTurmas2016_2;1;1;0;0;1;2;0;41;1;0;LongMethod;MLOC > 4.811927772126122
public method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2016_1;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2016_1.matricular;1;1;0,5;16;6;3;3;27;20;2;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.ensino.Curso > 5
public method;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2016_1;br.ufal.academico.batch.matricula.MatriculaFerasArapiraca2016_1.matricular;1;1;0,5;16;6;3;3;27;20;2;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
protected method;br.ufal.academico.batch.matricula.MatriculaFerasArapiracaGenerico;br.ufal.academico.batch.matricula.MatriculaFerasArapiracaGenerico.listarTurmasPrimeiroPeriodoTronco;2;2;0,75;4;3;2;2;7;9;4;LongParameterList;PARAMETER_COUNT > 0.6525940996948094
protected method;br.ufal.academico.batch.matricula.MatriculaFerasArapiracaGenerico;br.ufal.academico.batch.matricula.MatriculaFerasArapiracaGenerico.matricularEmTurmas;2;2;0,714285714;7;6;5;4;23;12;2;MessageChain;MAX_CALL_CHAIN = 5.0
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.calcularMatriculas;1;1;0,4;5;11;2;3;24;11;2;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.oferta.Turma > 8
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.getTurmas;1;1;1;2;6;2;3;14;13;2;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.sie.estruturada.Opcao > 4
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.matricularFeras;1;1;0,545454545;22;11;3;4;39;24;1;LongMethod;MLOC > 4.811927772126122
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.matricularFeras;1;1;0,545454545;22;11;3;4;39;24;1;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.matricularFerasEAD;0;0;0,529411765;17;9;2;3;34;21;1;LongMethod;MLOC > 4.811927772126122
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.matricularFerasEAD;0;0;0,529411765;17;9;2;3;34;21;1;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
private method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.matricularEmTurmas;1;2;0,75;8;6;4;4;25;13;2;MessageChain;MAX_CALL_CHAIN = 4.0
public method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.matricular;1;1;0,529411765;17;5;3;3;20;14;2;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.ensino.Curso > 6
public method;br.ufal.academico.batch.matricula.MatriculaFerasMaceio;br.ufal.academico.batch.matricula.MatriculaFerasMaceio.matricular;1;1;0,529411765;17;5;3;3;20;14;2;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
private method;br.ufal.academico.batch.matricula.MatriculaFerasSertao;br.ufal.academico.batch.matricula.MatriculaFerasSertao.matricularEmTurmas;1;1;1;2;3;2;2;8;11;4;LongParameterList;PARAMETER_COUNT > 0.6525940996948094
public method;br.ufal.academico.batch.matricula.MatriculaFerasSertao;br.ufal.academico.batch.matricula.MatriculaFerasSertao.matricular;1;1;0,6;10;5;3;2;15;10;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.ensino.VersaoCurso > 5
public method;br.ufal.academico.batch.matricula.MatriculaFerasSertao;br.ufal.academico.batch.matricula.MatriculaFerasSertao.matricular;1;1;0,6;10;5;3;2;15;10;1;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
public method;br.ufal.academico.batch.matricula.MatriculasRemanescentesDefeituosas;br.ufal.academico.batch.matricula.MatriculasRemanescentesDefeituosas.matricular;1;1;0,666666667;12;4;3;3;20;12;1;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
public method;br.ufal.academico.batch.matricula.RegistroEquivalenciaMatriculaRemanescente;br.ufal.academico.batch.matricula.RegistroEquivalenciaMatriculaRemanescente.registrar;2;2;0,4;25;7;3;3;31;13;2;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.matricula.MatriculaAcademica > 8
public method;br.ufal.academico.batch.matricula.RegistroEquivalenciaMatriculaRemanescente;br.ufal.academico.batch.matricula.RegistroEquivalenciaMatriculaRemanescente.registrar;2;2;0,4;25;7;3;3;31;13;2;LongMethod;MLOC > 4.811927772126122
public method;br.ufal.academico.batch.matricula.RegistroEquivalenciaMatriculaRemanescente;br.ufal.academico.batch.matricula.RegistroEquivalenciaMatriculaRemanescente.registrar;2;2;0,4;25;7;3;3;31;13;2;IntensiveCoupling;CINT = 25.0, CDISP = 0.4, CC > 1.0
public method;br.ufal.academico.batch.oferta.CriacaoFeriados;br.ufal.academico.batch.oferta.CriacaoFeriados.criarFeriados;1;1;1;4;2;2;1;47;25;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dao.GenericDao<br.ufal.academico.dominio.sie.estruturada.Campus,br.ufal.academico.dominio.sie.estruturada.OpcaoPk> > 7
public method;br.ufal.academico.batch.oferta.CriacaoFeriados;br.ufal.academico.batch.oferta.CriacaoFeriados.criarFeriados;1;1;1;4;2;2;1;47;25;1;LongMethod;MLOC > 4.811927772126122
public method;br.ufal.academico.batch.transpal.GeracaoAlunosAvulsos;br.ufal.academico.batch.transpal.GeracaoAlunosAvulsos.gerar;1;1;1;3;7;3;3;37;11;0;LongMethod;MLOC > 4.811927772126122
private method;br.ufal.academico.batch.transpal.GeracaoDadosTranspal;br.ufal.academico.batch.transpal.GeracaoDadosTranspal.processamento;1;1;0,407407407;27;12;6;2;49;13;2;FeatureEnvy;CALLS_TO_br.ufal.academico.util.AcentosUtils > 8
private method;br.ufal.academico.batch.transpal.GeracaoDadosTranspal;br.ufal.academico.batch.transpal.GeracaoDadosTranspal.processamento;1;1;0,407407407;27;12;6;2;49;13;2;LongMethod;MLOC > 4.811927772126122
private method;br.ufal.academico.batch.transpal.GeracaoDadosTranspal;br.ufal.academico.batch.transpal.GeracaoDadosTranspal.processamento;1;1;0,407407407;27;12;6;2;49;13;2;MessageChain;MAX_CALL_CHAIN = 6.0
private method;br.ufal.academico.batch.transpal.GeracaoDadosTranspal;br.ufal.academico.batch.transpal.GeracaoDadosTranspal.processamento;1;1;0,407407407;27;12;6;2;49;13;2;IntensiveCoupling;CINT = 27.0, CDISP = 0.4074074074074074, CC > 1.0
public method;br.ufal.academico.dao.diarioclasse.DiarioClasseDao;br.ufal.academico.dao.diarioclasse.DiarioClasseDao.consultarDiarioPorTurmaFiltrarPorPeriodo;1;1;0;0;1;0;0;1;4;4;LongParameterList;PARAMETER_COUNT > 0.6525940996948094
method;br.ufal.academico.dao.diarioclasse.PresencaDao;br.ufal.academico.dao.diarioclasse.PresencaDao.atualizarPresencasPorPeriodoParaTipo;1;1;0;0;1;0;0;1;4;4;LongParameterList;PARAMETER_COUNT > 0.6525940996948094
method;br.ufal.academico.dao.GenericDao;br.ufal.academico.dao.GenericDao.listar;0;0;0;0;1;0;0;1;4;4;LongParameterList;PARAMETER_COUNT > 0.6525940996948094
method;br.ufal.academico.dao.GenericDao;br.ufal.academico.dao.GenericDao.listar;0;0;0;0;1;0;0;1;5;5;LongParameterList;PARAMETER_COUNT > 0.6525940996948094
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateAtividadeNaoPrevistaDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateAtividadeNaoPrevistaDao.consultarAtividadesPorPlano;0;0;1;2;2;4;1;6;2;1;MessageChain;MAX_CALL_CHAIN = 4.0
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarConteudosProgramaticoPorPlano;0;0;1;2;2;4;1;6;2;1;MessageChain;MAX_CALL_CHAIN = 4.0
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarQuantidadeItensNaHierarquia;0;0;0,75;4;4;4;1;8;2;1;MessageChain;MAX_CALL_CHAIN = 4.0
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarConteudosProgramaticosMesmaHierarquiaOrdenados;0;0;0,5;4;4;6;1;9;2;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dao.hibernate.HibernateGenericDao<br.ufal.academico.dominio.diarioclasse.ConteudoProgramatico,br.ufal.academico.dao.hibernate.diarioclasse.Long> > 4
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarConteudosProgramaticosMesmaHierarquiaOrdenados;0;0;0,5;4;4;6;1;9;2;1;MessageChain;MAX_CALL_CHAIN = 6.0
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarPrimeiroConteudoProgramaticoMinistradoNaHierarquia;0;0;0,6;5;4;6;1;8;2;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.diarioclasse.ConteudoProgramatico > 7
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarPrimeiroConteudoProgramaticoMinistradoNaHierarquia;0;0;0,6;5;4;6;1;8;2;1;MessageChain;MAX_CALL_CHAIN = 6.0
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarUltimoConteudoProgramaticoMinistradoNaHierarquia;0;0;0,6;5;4;6;1;8;2;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.diarioclasse.ConteudoProgramatico > 7
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarUltimoConteudoProgramaticoMinistradoNaHierarquia;0;0;0,6;5;4;6;1;8;2;1;MessageChain;MAX_CALL_CHAIN = 6.0
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarConteudosProgramaticosRaiz;0;0;0,5;2;2;6;1;7;2;1;MessageChain;MAX_CALL_CHAIN = 6.0
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateConteudoProgramaticoDao.consultarConteudosProgramaticosFilhos;0;0;0,5;2;2;5;1;7;2;1;MessageChain;MAX_CALL_CHAIN = 5.0
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao.consultarDiarioPorTurma;0;0;0,666666667;12;4;8;2;14;8;2;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.sie.estruturada.Campus > 4
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao.consultarDiarioPorTurma;0;0;0,666666667;12;4;8;2;14;8;2;MessageChain;MAX_CALL_CHAIN = 8.0
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao.consultarDiarioPorTurma;0;0;0,666666667;12;4;8;2;14;8;2;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao.consultarDiarioPorTurmaFiltrarPorDiaDaSemana;0;0;0,666666667;12;4;9;2;14;9;3;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.sie.estruturada.Campus > 4
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao.consultarDiarioPorTurmaFiltrarPorDiaDaSemana;0;0;0,666666667;12;4;9;2;14;9;3;MessageChain;MAX_CALL_CHAIN = 9.0
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao.consultarDiarioPorTurmaFiltrarPorDiaDaSemana;0;0;0,666666667;12;4;9;2;14;9;3;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao.consultarDiarioPorTurmaFiltrarPorPeriodo;0;0;0,666666667;12;4;10;2;14;10;4;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.sie.estruturada.Campus > 4
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao.consultarDiarioPorTurmaFiltrarPorPeriodo;0;0;0,666666667;12;4;10;2;14;10;4;LongParameterList;PARAMETER_COUNT > 0.6525940996948094
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao.consultarDiarioPorTurmaFiltrarPorPeriodo;0;0;0,666666667;12;4;10;2;14;10;4;MessageChain;MAX_CALL_CHAIN = 10.0
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao.consultarDiarioPorTurmaFiltrarPorPeriodo;0;0;0,666666667;12;4;10;2;14;10;4;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao.consultarQuantidadeDiariosPorTurma;0;0;0,666666667;12;4;7;2;13;7;1;FeatureEnvy;CALLS_TO_br.ufal.academico.dominio.sie.estruturada.Campus > 4
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao.consultarQuantidadeDiariosPorTurma;0;0;0,666666667;12;4;7;2;13;7;1;MessageChain;MAX_CALL_CHAIN = 7.0
public method;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao;br.ufal.academico.dao.hibernate.diarioclasse.HibernateDiarioClasseDao.consultarQuantidadeDiariosPorTurma;0;0;0,666666667;12;4;7;2;13;7;1;DispersedCoupling;CINT > 8.0, CDISP > 0.5, CC > 1.0
