url,project_name,commit
https://github.com/prestodb/presto,prestodb/presto,631eb42bebcfaec6c59992bfa65dbf40ef7b15ae
https://github.com/prestodb/presto,prestodb/presto,19939b12e8376aca4dee262a1d393f7c4df59c41
https://github.com/prestodb/presto,prestodb/presto,7e49bff71f42fda77e15fc1c2c8c3f4223a7e3ff
https://github.com/prestodb/presto,prestodb/presto,fa88fbd8ba84489b84558248ca829aad6587d726
https://github.com/prestodb/presto,prestodb/presto,594b06c3e93a482dc162d2c49c9bd265795efb86
https://github.com/prestodb/presto,prestodb/presto,e4967d2c8ffa33fe62005ef897ccf1b898e3826c
https://github.com/prestodb/presto,prestodb/presto,aa477b2a86dba7004512abb2f6316fdf755636a5
https://github.com/prestodb/presto,prestodb/presto,dd85bc7925dc4f100a1c77997516d905600e03da
https://github.com/prestodb/presto,prestodb/presto,2f9a4ebc5ce43101507bd4435d381da86b8173f3
https://github.com/prestodb/presto,prestodb/presto,e949a77ef263657da25c28766438c0812fb77da8
https://github.com/prestodb/presto,prestodb/presto,0772fb70e9c6931894b60e1b2d641fdbc32fc785
https://github.com/prestodb/presto,prestodb/presto,a916a0359c8022b436d7f53d43de9f8282138343
https://github.com/prestodb/presto,prestodb/presto,28fe1b962dd767878b0ee8d15eedbdaa9ba50bf8
https://github.com/prestodb/presto,prestodb/presto,4f065214b1d3f91d4eef5336ca79d7ca49e11b93
https://github.com/prestodb/presto,prestodb/presto,667ed13b9764b3baeb94cf15194f66c7ca735af7
https://github.com/prestodb/presto,prestodb/presto,11048642b1e6b0e35efefab9e4e693b09c8753f5
https://github.com/prestodb/presto,prestodb/presto,f4e98aa8358c3ac6185885c03b36d88b0defa79a
https://github.com/prestodb/presto,prestodb/presto,a58a53e360d5804d68f2f5b0254c0d625b5abcb6
https://github.com/prestodb/presto,prestodb/presto,5ad7fb7b1b1d30ef389b4381d0cab42eaf129e07
https://github.com/prestodb/presto,prestodb/presto,98faf69c110b0f7e51b79924fa06aef9ae345a6e
https://github.com/prestodb/presto,prestodb/presto,0a1c12df25c9552365fc75ca36ebee373f33b487
https://github.com/prestodb/presto,prestodb/presto,8c4e324c1e7f1330bf2e6bd569c068fc9ffc1913
https://github.com/prestodb/presto,prestodb/presto,0cc74f07b2b55f28da66682ec9720f75528fe07b
https://github.com/prestodb/presto,prestodb/presto,3474cee04d52d4910658d8abee0a693d2d7f60b8
https://github.com/prestodb/presto,prestodb/presto,2849fdb47a8e2a5b546b4978875bf15c3eddf4fc
https://github.com/prestodb/presto,prestodb/presto,7b47e32a25523c4a83e51ccf8edcfd29567c109e
https://github.com/prestodb/presto,prestodb/presto,aab7ef49e46b9e6e90d63417875193645260cc1a
https://github.com/prestodb/presto,prestodb/presto,9f14cd2afb0b0d7f0cd21f767721b3cc7e02d0e7
https://github.com/prestodb/presto,prestodb/presto,bcc233af554a209c7c3bb0d91642634481c27ef5
https://github.com/prestodb/presto,prestodb/presto,d20be9b41662d983577ec60f0dfa5d8adf7ba09e
https://github.com/prestodb/presto,prestodb/presto,3366b4311dde7cb95f7473e0a30347b6f06f67e8
https://github.com/prestodb/presto,prestodb/presto,5163c29c82384e0c78f9855176edef42da510687
https://github.com/prestodb/presto,prestodb/presto,43a03c47ad23eec28471ae756e69492ecc328632
https://github.com/prestodb/presto,prestodb/presto,d3af9f47c0c95d97b4cdde250cac3232b2148191
https://github.com/prestodb/presto,prestodb/presto,7ae39a948e7c4a592fa1ac05e6b83152556da0b5
https://github.com/prestodb/presto,prestodb/presto,af22f7f717539772d0f30411bce99ef1ed86e858
https://github.com/prestodb/presto,prestodb/presto,80adc788f9d3518f59fb41011c5c4a7480ffa061
https://github.com/prestodb/presto,prestodb/presto,c1fac005bbc61f862e116ce79efa7b0fcd13efcc
https://github.com/prestodb/presto,prestodb/presto,e4e86cbad97486d8d83090e90333f2ad90956f5b
https://github.com/prestodb/presto,prestodb/presto,bd5373bebc0a0876a356bfeae35822ece8eea71e
https://github.com/prestodb/presto,prestodb/presto,cd10b0751d169eeb0ce8e1f566c26b6f1ceeac70
https://github.com/prestodb/presto,prestodb/presto,6d27491a7af2c60fa883c697b8d214c66933fa1b
https://github.com/prestodb/presto,prestodb/presto,8548ba813f2d426911062e59efa079ed296d44a6
https://github.com/prestodb/presto,prestodb/presto,3b997675e7d29feb02bedb40d9c4b248a170ad9e
https://github.com/prestodb/presto,prestodb/presto,ce7db49cb5fb4117747d5841099364fd5efe5a14
https://github.com/prestodb/presto,prestodb/presto,b70c68b3f9800e07253993de97b5950621a230f8
https://github.com/prestodb/presto,prestodb/presto,dbb15a69b5a8963398d82c679682b24216a5723f
https://github.com/prestodb/presto,prestodb/presto,882ec5024af591711c34fd18a37956b21b5080f5
https://github.com/prestodb/presto,prestodb/presto,26cfde05f2c1b9003988e8ad0f4206b8b9706c61
https://github.com/prestodb/presto,prestodb/presto,47e09ef3f4c2f3bd46d0d3afd7a382244f6b60c5
https://github.com/prestodb/presto,prestodb/presto,8d63b6a975167491b31f3a67fd99edf98c1c5443
https://github.com/prestodb/presto,prestodb/presto,9c8b627b4a71dd208c473496b018852e62a57e29
https://github.com/prestodb/presto,prestodb/presto,4474e0f1ee999fd309bb51de942e4c4531c72d02
https://github.com/prestodb/presto,prestodb/presto,fd84099f0158b4c7ceb9f3d2bd80a92836d37663
https://github.com/prestodb/presto,prestodb/presto,babe6a3378f3e1971911d40ca69144ef5ba73137
https://github.com/prestodb/presto,prestodb/presto,fc3f2df566b2212a73a8f32bff5d96a56152b199
https://github.com/prestodb/presto,prestodb/presto,de6697b7f2362df430dda8a883ceb7155004eaa1
https://github.com/prestodb/presto,prestodb/presto,d6f5ef9a28cb7b6034821d6b387f69d04df29b57
https://github.com/prestodb/presto,prestodb/presto,71e763862db5386ad117abc1d366642c550c4ddc
https://github.com/prestodb/presto,prestodb/presto,66bdf0d345d8722fbe82ec4fca739262d874b106
https://github.com/prestodb/presto,prestodb/presto,d168fe5b6bb8436b84e1134286b56da205f0bb99
https://github.com/prestodb/presto,prestodb/presto,def1f5a3ba5263f84ba3ce3c6ebd0ad7e930974a
https://github.com/prestodb/presto,prestodb/presto,e63b19622694fcc77b0809b1761dea94c6a12937
https://github.com/prestodb/presto,prestodb/presto,1b7b351e5cff12a0b640b44345dd37e09a286ae1
https://github.com/prestodb/presto,prestodb/presto,3db160a66554bdcd8e6ab776cc44972cee36472d
https://github.com/prestodb/presto,prestodb/presto,3847d03a4ac7e7f4e52bca451ddb5089a7402072
https://github.com/prestodb/presto,prestodb/presto,4af44932f04e4c4b0116c315891584e0632f8e9e
