kind;element;ClassLinesOfCode;IsAbstract;LCOM2;LCOM3;NumberOfAccessorMethods;OverrideRatio;PublicFieldCount;TightClassCohesion;WeighOfClass;WeightedMethodCount;smells_count;smells
public class;br.com.meyer.model.contract.ContractValue;59,0;0,0;0,583333333333;0,636363636364;8,0;None;1,0;0,469696969697;0,333333333333;19,0;2;ClassDataShouldBePrivate,LongParameterList
public class;br.com.meyer.model.contract.ContractWithdrawEntry;53,0;0,0;0,25;0,5;0,0;None;10,0;1,0;1,0;2,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.contract.ContractWithdrawEntry.ContractEvent;21,0;0,0;0,0;0,0;0,0;None;6,0;1,0;1,0;1,0;2;ClassDataShouldBePrivate,LongParameterList
public class;br.com.meyer.model.contract.ContractWithdrawEntry.SellerEvents;20,0;0,0;0,333333333333;0,5;0,0;None;2,0;1,0;1,0;5,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.contract.DTO.ContractCreationDTO;9,0;0,0;0,0;0,0;0,0;None;2,0;1,0;1,0;1,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.contract.DTO.ContractValueDTO;9,0;0,0;0,0;0,0;0,0;None;2,0;1,0;1,0;1,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.contract.DTO.PriceDevices;9,0;0,0;0,0;0,0;0,0;None;2,0;1,0;1,0;1,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.contract.Extension;18,0;0,0;0,0;0,0;0,0;None;4,0;1,0;1,0;1,0;2;ClassDataShouldBePrivate,LongParameterList
public class;br.com.meyer.model.contract.Price;81,0;0,0;0,545454545455;0,6;7,0;None;0,0;0,563636363636;0,363636363636;15,0;0;
public class;br.com.meyer.model.contract.Price.Builder;29,0;0,0;0,775;0,885714285714;0,0;None;0,0;0,142857142857;1,0;8,0;0;
public class;br.com.meyer.model.contract.withdraw.ContractWithdrawDTO;27,0;0,0;0,0;0,0;0,0;None;7,0;1,0;1,0;1,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.contract.withdraw.ContractWithdrawDTO.ContractUser;18,0;0,0;0,0;0,0;0,0;None;5,0;1,0;1,0;1,0;2;ClassDataShouldBePrivate,LongParameterList
public class;br.com.meyer.model.Counter;56,0;0,0;0,636363636364;0,7;5,0;None;2,0;0,363636363636;0,545454545455;19,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.device.Board;31,0;0,0;0,3125;0,357142857143;4,0;None;0,0;0,785714285714;0,5;12,0;0;
public class;br.com.meyer.model.device.Device;248,0;0,0;0,865131578947;0,888513513514;26,0;None;1,0;0,22332859175;0,315789473684;65,0;5;MessageChain,ClassDataShouldBePrivate,LongParameterList
public class;br.com.meyer.model.device.Device.Builder;35,0;0,0;0,825396825397;0,928571428571;0,0;None;0,0;0,138888888889;1,0;9,0;0;
public class;br.com.meyer.model.device.DeviceAlterdataDTO;15,0;0,0;0,0;0,0;0,0;None;4,0;1,0;1,0;1,0;2;ClassDataShouldBePrivate,LongParameterList
public class;br.com.meyer.model.device.DeviceDTO;9,0;0,0;0,0;0,0;0,0;None;2,0;1,0;1,0;1,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.device.DeviceHistoryDTO;26,0;0,0;0,416666666667;0,625;1,0;None;0,0;0,666666666667;0,666666666667;5,0;0;
public class;br.com.meyer.model.device.DeviceHistoryEntry;62,0;0,0;0,555555555556;0,694444444444;2,0;None;3,0;0,5;0,6;5,0;4;ClassDataShouldBePrivate,LongParameterList
public class;br.com.meyer.model.device.DeviceQueryResult;31,0;0,0;0,0;0,0;0,0;None;3,0;1,0;1,0;7,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.device.DevicesByStatusSpec;24,0;0,0;0,375;0,5;0,0;None;2,0;1,0;1,0;6,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.device.Link;53,0;0,0;0,783333333333;0,854545454545;6,0;None;2,0;0,218181818182;0,454545454545;14,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.device.reading.DeviceReading;125,0;0,0;0,851239669421;0,891774891775;17,0;None;0,0;0,238095238095;0,227272727273;42,0;5;ComplexClass,DataClass,FeatureEnvy,LongParameterList
public class;br.com.meyer.model.device.reading.DeviceReadingReport;54,0;0,0;0,0;0,0;0,0;None;11,0;1,0;1,0;1,0;2;ClassDataShouldBePrivate,LongParameterList
public class;br.com.meyer.model.device.reading.DeviceReadingReport.MonthReading;22,0;0,0;0,7;0,875;3,0;None;2,0;0,2;0,4;5,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.device.reading.DeviceReadingReport.Page;17,0;0,0;0,0;0,0;0,0;None;5,0;1,0;1,0;1,0;2;ClassDataShouldBePrivate,LongParameterList
public class;br.com.meyer.model.device.report.ReportDTO;33,0;0,0;0,0;0,0;0,0;None;8,0;1,0;1,0;1,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.device.report.ReportDTO.ModelQt;9,0;0,0;0,0;0,0;0,0;None;2,0;1,0;1,0;1,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.device.report.ReportDTO.ManufacturerList;12,0;0,0;0,0;0,0;0,0;None;3,0;1,0;1,0;1,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.Exchange;58,0;0,0;0,7625;0,847222222222;6,0;None;0,0;0,422222222222;0,4;16,0;1;LongParameterList
public class;br.com.meyer.model.Manufacturer;29,0;0,0;0,416666666667;0,555555555556;0,0;None;1,0;1,0;1,0;7,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.Model;125,0;0,0;0,711111111111;0,748538011696;10,0;None;0,0;0,426315789474;0,5;34,0;3;LongParameterList
public class;br.com.meyer.model.schedule.ModelDTO;9,0;0,0;0,0;0,0;0,0;None;2,0;1,0;0,0;1,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.schedule.Schedule;9,0;0,0;0,0;0,0;0,0;None;2,0;1,0;1,0;1,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.schedule.ScheduleClientDTO;15,0;0,0;0,0;0,0;0,0;None;4,0;1,0;1,0;1,0;2;ClassDataShouldBePrivate,LongParameterList
public class;br.com.meyer.model.schedule.ScheduleDeviceDTO;12,0;0,0;0,0;0,0;0,0;None;3,0;1,0;0,0;1,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.model.user.notification.Notification;50,0;0,0;0,642857142857;0,771428571429;4,0;None;4,0;0,533333333333;0,333333333333;6,0;3;ClassDataShouldBePrivate,LongParameterList
public class;br.com.meyer.model.user.notification.NotificationBuilder;45,0;0,0;0,0;0,0;0,0;None;0,0;0,0;1,0;18,0;4;MessageChain,FeatureEnvy,LongParameterList
public class;br.com.meyer.model.user.User;104,0;0,0;0,838842975207;0,878787878788;12,0;None;0,0;0,238095238095;0,428571428571;26,0;3;LongParameterList
public class;br.com.meyer.model.user.UserDevicesDTO;17,0;0,0;0,5;1,0;1,0;None;0,0;1,0;0,5;2,0;0;
public class;br.com.meyer.model.user.UserGroup;68,0;0,0;0,25;0,333333333333;2,0;None;1,0;0,833333333333;0,5;10,0;2;LongMethod,ClassDataShouldBePrivate
public class;br.com.meyer.repository.ClientRepository;110,0;0,0;0,769230769231;0,833333333333;0,0;None;0,0;0,0384615384615;1,0;20,0;8;MessageChain,FeatureEnvy
public class;br.com.meyer.repository.ContractRepository;310,0;0,0;0,9375;0,978260869565;2,0;None;0,0;0,036231884058;0,916666666667;94,0;21;LongMethod,IntensiveCoupling,ComplexClass,FeatureEnvy,SpaghettiCode,MessageChain
public class;br.com.meyer.repository.DeviceRepository;537,0;0,0;0,96186440678;0,978448275862;4,0;None;0,0;0,00642898889538;0,932203389831;141,0;51;LongParameterList,DispersedCoupling,LongMethod,IntensiveCoupling,ComplexClass,GodClass,FeatureEnvy,BrainClass,MessageChain,BrainMethod
public class;br.com.meyer.repository.ModelRepository;91,0;0,0;0,0;0,0;1,0;None;0,0;0,0;0,933333333333;28,0;8;MessageChain,FeatureEnvy
