project;repo_file_path_reduced;refs_count
apache_derby;testing/org/apache/derbyTesting/functionTests/tests/derbynet/ClientSideSystemPropertiesTest.java;1
apache_derby;engine/org/apache/derby/iapi/types/SQLClob.java;3
apache_tomcat;org/apache/catalina/valves/RemoteHostValve.java;2
apache_tomcat;org/apache/catalina/startup/ContextConfig.java;21
apache_derby;testing/org/apache/derbyTesting/functionTests/util/JDBCClient.java;1
apache_derby;testing/org/apache/derbyTesting/functionTests/tests/jdbcapi/savepointJdbc30_JSR169.java;1
apache_derby;engine/org/apache/derby/jdbc/EmbedPooledConnection.java;3
apache_derby;engine/org/apache/derby/impl/db/SlaveDatabase.java;1
apache_derby;engine/org/apache/derby/impl/jdbc/LOBInputStream.java;1
apache_tomcat;org/apache/catalina/websocket/WebSocketServlet.java;1
apache_derby;engine/org/apache/derby/impl/jdbc/EmbedClob.java;1
apache_tomcat;org/apache/catalina/CometFilter.java;1
apache_derby;testing/org/apache/derbyTesting/functionTests/tests/largedata/LobLimitsTest.java;6
apache_tomcat;org/apache/catalina/deploy/MessageDestinationRef.java;1
apache_derby;engine/org/apache/derby/iapi/types/StreamHeaderGenerator.java;1
apache_derby;testing/org/apache/derbyTesting/functionTests/tests/jdbcapi/blobclob4BLOB.java;1
apache_tomcat;org/apache/catalina/mbeans/JmxRemoteLifecycleListener.java;8
apache_tomcat;org/apache/catalina/ha/session/JvmRouteSessionIDBinderListener.java;1
apache_derby;engine/org/apache/derby/impl/sql/compile/StaticMethodCallNode.java;5
apache_derby;engine/org/apache/derby/impl/sql/compile/UserTypeConstantNode.java;2
apache_tomcat;org/apache/coyote/ContainerThreadMarker.java;1
apache_derby;engine/org/apache/derby/jdbc/EmbeddedConnectionPoolDataSource.java;1
apache_derby;engine/org/apache/derby/impl/sql/execute/LastIndexKeyResultSet.java;4
apache_tomcat;org/apache/tomcat/websocket/server/WsRemoteEndpointImplServer.java;3
apache_derby;client/org/apache/derby/jdbc/BasicClientDataSource40.java;1
apache_derby;build/org/apache/derbyBuild/ReleaseNotesGenerator.java;4
apache_tomcat;org/apache/tomcat/util/scan/UrlJar.java;1
apache_tomcat;org/apache/tomcat/util/http/CookieSupport.java;2
apache_derby;testing/org/apache/derbyTesting/functionTests/util/BigDecimalHandler.java;2
apache_derby;engine/org/apache/derby/impl/services/replication/net/SocketConnection.java;1
apache_tomcat;org/apache/catalina/util/ConcurrentMessageDigest.java;1
apache_tomcat;org/apache/catalina/valves/ExtendedAccessLogValve.java;5
apache_derby;demo/simple/SimpleApp.java;1
apache_derby;engine/org/apache/derby/impl/sql/execute/BasicNoPutResultSetImpl.java;2
apache_derby;testing/org/apache/derbyTesting/junit/TestConfiguration.java;10
apache_tomcat;org/apache/catalina/ha/session/ClusterManagerBase.java;15
apache_tomcat;org/apache/tomcat/util/bcel/classfile/ClassParser.java;1
